"","Date","Crime","Atamelang"
"315","Jul-Sep 2021","BankRobbery",0
"316","Oct-Dec 2021","BankRobbery",0
"317","Jan-Mar 2022","BankRobbery",0
"318","Apr-Jun 2022","BankRobbery",0
"319","Jul-Sep 2022","BankRobbery",0
"320","Oct-Dec 2022","BankRobbery",0
"321","Jan-Mar 2018","Truckhijacking",0
"322","Apr-Jun 2018","Truckhijacking",0
"323","Jul-Sep 2018","Truckhijacking",0
"324","Oct-Dec 2018","Truckhijacking",0
"325","Jan-Mar 2019","Truckhijacking",0
"326","Apr-Jun 2019","Truckhijacking",0
"327","Jul-Sep 2019","Truckhijacking",0
"328","Oct-Dec 2019","Truckhijacking",0
"329","Jan-Mar 2020","Truckhijacking",0
"330","Apr-Jun 2020","Truckhijacking",0
"331","Jul-Sep 2020","Truckhijacking",0
"332","Oct-Dec 2020","Truckhijacking",0
"333","Jan-Mar 2021","Truckhijacking",0
"334","Apr-Jun 2021","Truckhijacking",0
"335","Jul-Sep 2021","Truckhijacking",0
"336","Oct-Dec 2021","Truckhijacking",0
"337","Jan-Mar 2022","Truckhijacking",0
"338","Apr-Jun 2022","Truckhijacking",0
"339","Jul-Sep 2022","Truckhijacking",0
"340","Oct-Dec 2022","Truckhijacking",0
"341","Jan-Mar 2018","Arson",2
"342","Apr-Jun 2018","Arson",0
"343","Jul-Sep 2018","Arson",0
"344","Oct-Dec 2018","Arson",0
"345","Jan-Mar 2019","Arson",2
"346","Apr-Jun 2019","Arson",1
"347","Jul-Sep 2019","Arson",1
"348","Oct-Dec 2019","Arson",1
"349","Jan-Mar 2020","Arson",0
"350","Apr-Jun 2020","Arson",1
"351","Jul-Sep 2020","Arson",2
"352","Oct-Dec 2020","Arson",1
"353","Jan-Mar 2021","Arson",0
"354","Apr-Jun 2021","Arson",1
"355","Jul-Sep 2021","Arson",2
"356","Oct-Dec 2021","Arson",0
"357","Jan-Mar 2022","Arson",0
"358","Apr-Jun 2022","Arson",2
"359","Jul-Sep 2022","Arson",0
"360","Oct-Dec 2022","Arson",0
"361","Jan-Mar 2018","MaliciousPropertyDamage",2
"362","Apr-Jun 2018","MaliciousPropertyDamage",7
"363","Jul-Sep 2018","MaliciousPropertyDamage",3
"364","Oct-Dec 2018","MaliciousPropertyDamage",6
"365","Jan-Mar 2019","MaliciousPropertyDamage",5
"366","Apr-Jun 2019","MaliciousPropertyDamage",8
"367","Jul-Sep 2019","MaliciousPropertyDamage",6
"368","Oct-Dec 2019","MaliciousPropertyDamage",7
"369","Jan-Mar 2020","MaliciousPropertyDamage",5
"370","Apr-Jun 2020","MaliciousPropertyDamage",2
"371","Jul-Sep 2020","MaliciousPropertyDamage",8
"372","Oct-Dec 2020","MaliciousPropertyDamage",8
"373","Jan-Mar 2021","MaliciousPropertyDamage",6
"374","Apr-Jun 2021","MaliciousPropertyDamage",3
"375","Jul-Sep 2021","MaliciousPropertyDamage",1
"376","Oct-Dec 2021","MaliciousPropertyDamage",6
"377","Jan-Mar 2022","MaliciousPropertyDamage",4
"378","Apr-Jun 2022","MaliciousPropertyDamage",15
"379","Jul-Sep 2022","MaliciousPropertyDamage",3
"380","Oct-Dec 2022","MaliciousPropertyDamage",10
"381","Jan-Mar 2018","NonResidenceBurglery",16
"382","Apr-Jun 2018","NonResidenceBurglery",12
"383","Jul-Sep 2018","NonResidenceBurglery",16
"384","Oct-Dec 2018","NonResidenceBurglery",12
"385","Jan-Mar 2019","NonResidenceBurglery",7
"386","Apr-Jun 2019","NonResidenceBurglery",19
"387","Jul-Sep 2019","NonResidenceBurglery",17
"388","Oct-Dec 2019","NonResidenceBurglery",14
"389","Jan-Mar 2020","NonResidenceBurglery",11
"390","Apr-Jun 2020","NonResidenceBurglery",7
"391","Jul-Sep 2020","NonResidenceBurglery",5
"392","Oct-Dec 2020","NonResidenceBurglery",4
"393","Jan-Mar 2021","NonResidenceBurglery",4
"394","Apr-Jun 2021","NonResidenceBurglery",7
"395","Jul-Sep 2021","NonResidenceBurglery",2
"396","Oct-Dec 2021","NonResidenceBurglery",11
"397","Jan-Mar 2022","NonResidenceBurglery",10
"398","Apr-Jun 2022","NonResidenceBurglery",12
"399","Jul-Sep 2022","NonResidenceBurglery",2
"400","Oct-Dec 2022","NonResidenceBurglery",4
"401","Jan-Mar 2018","ResidencialBurglery",17
"402","Apr-Jun 2018","ResidencialBurglery",12
"403","Jul-Sep 2018","ResidencialBurglery",14
"404","Oct-Dec 2018","ResidencialBurglery",14
"405","Jan-Mar 2019","ResidencialBurglery",23
"406","Apr-Jun 2019","ResidencialBurglery",17
"407","Jul-Sep 2019","ResidencialBurglery",14
"408","Oct-Dec 2019","ResidencialBurglery",11
"409","Jan-Mar 2020","ResidencialBurglery",8
"410","Apr-Jun 2020","ResidencialBurglery",6
"411","Jul-Sep 2020","ResidencialBurglery",8
"412","Oct-Dec 2020","ResidencialBurglery",6
"413","Jan-Mar 2021","ResidencialBurglery",10
"414","Apr-Jun 2021","ResidencialBurglery",12
"415","Jul-Sep 2021","ResidencialBurglery",6
"416","Oct-Dec 2021","ResidencialBurglery",9
"417","Jan-Mar 2022","ResidencialBurglery",11
"418","Apr-Jun 2022","ResidencialBurglery",9
"419","Jul-Sep 2022","ResidencialBurglery",13
"420","Oct-Dec 2022","ResidencialBurglery",13
"421","Jan-Mar 2018","MotorTheft",2
"422","Apr-Jun 2018","MotorTheft",1
"423","Jul-Sep 2018","MotorTheft",1
"424","Oct-Dec 2018","MotorTheft",1
"425","Jan-Mar 2019","MotorTheft",1
"426","Apr-Jun 2019","MotorTheft",0
"427","Jul-Sep 2019","MotorTheft",0
"428","Oct-Dec 2019","MotorTheft",0
"429","Jan-Mar 2020","MotorTheft",1
"430","Apr-Jun 2020","MotorTheft",0
"431","Jul-Sep 2020","MotorTheft",0
"432","Oct-Dec 2020","MotorTheft",1
"433","Jan-Mar 2021","MotorTheft",0
"434","Apr-Jun 2021","MotorTheft",0
"435","Jul-Sep 2021","MotorTheft",0
"436","Oct-Dec 2021","MotorTheft",0
"437","Jan-Mar 2022","MotorTheft",1
"438","Apr-Jun 2022","MotorTheft",1
"439","Jul-Sep 2022","MotorTheft",0
"440","Oct-Dec 2022","MotorTheft",0
"441","Jan-Mar 2018","MotorGoodsTheft",0
"442","Apr-Jun 2018","MotorGoodsTheft",0
"443","Jul-Sep 2018","MotorGoodsTheft",0
"444","Oct-Dec 2018","MotorGoodsTheft",2
"445","Jan-Mar 2019","MotorGoodsTheft",0
"446","Apr-Jun 2019","MotorGoodsTheft",0
"447","Jul-Sep 2019","MotorGoodsTheft",2
"448","Oct-Dec 2019","MotorGoodsTheft",0
"449","Jan-Mar 2020","MotorGoodsTheft",2
"450","Apr-Jun 2020","MotorGoodsTheft",1
"451","Jul-Sep 2020","MotorGoodsTheft",0
"452","Oct-Dec 2020","MotorGoodsTheft",3
"453","Jan-Mar 2021","MotorGoodsTheft",0
"454","Apr-Jun 2021","MotorGoodsTheft",0
"455","Jul-Sep 2021","MotorGoodsTheft",0
"456","Oct-Dec 2021","MotorGoodsTheft",2
"457","Jan-Mar 2022","MotorGoodsTheft",1
"458","Apr-Jun 2022","MotorGoodsTheft",0
"459","Jul-Sep 2022","MotorGoodsTheft",0
"460","Oct-Dec 2022","MotorGoodsTheft",0
"461","Jan-Mar 2018","StockTheft",2
"462","Apr-Jun 2018","StockTheft",12
"463","Jul-Sep 2018","StockTheft",23
"464","Oct-Dec 2018","StockTheft",26
"465","Jan-Mar 2019","StockTheft",16
"466","Apr-Jun 2019","StockTheft",13
"467","Jul-Sep 2019","StockTheft",18
"468","Oct-Dec 2019","StockTheft",11
"469","Jan-Mar 2020","StockTheft",6
"470","Apr-Jun 2020","StockTheft",9
"471","Jul-Sep 2020","StockTheft",9
"472","Oct-Dec 2020","StockTheft",17
"473","Jan-Mar 2021","StockTheft",10
"474","Apr-Jun 2021","StockTheft",22
"475","Jul-Sep 2021","StockTheft",15
"476","Oct-Dec 2021","StockTheft",17
"477","Jan-Mar 2022","StockTheft",9
"478","Apr-Jun 2022","StockTheft",5
"479","Jul-Sep 2022","StockTheft",11
"480","Oct-Dec 2022","StockTheft",13
"481","Jan-Mar 2018","OtherTheft",7
"482","Apr-Jun 2018","OtherTheft",7
"483","Jul-Sep 2018","OtherTheft",6
"484","Oct-Dec 2018","OtherTheft",10
"485","Jan-Mar 2019","OtherTheft",10
"486","Apr-Jun 2019","OtherTheft",5
"487","Jul-Sep 2019","OtherTheft",13
"488","Oct-Dec 2019","OtherTheft",7
"489","Jan-Mar 2020","OtherTheft",8
"490","Apr-Jun 2020","OtherTheft",6
"491","Jul-Sep 2020","OtherTheft",2
"492","Oct-Dec 2020","OtherTheft",3
"493","Jan-Mar 2021","OtherTheft",6
"494","Apr-Jun 2021","OtherTheft",5
"495","Jul-Sep 2021","OtherTheft",5
"496","Oct-Dec 2021","OtherTheft",6
"497","Jan-Mar 2022","OtherTheft",6
"498","Apr-Jun 2022","OtherTheft",9
"499","Jul-Sep 2022","OtherTheft",7
"500","Oct-Dec 2022","OtherTheft",3
"501","Jan-Mar 2018","CommecialCrimes",0
"502","Apr-Jun 2018","CommecialCrimes",0
"503","Jul-Sep 2018","CommecialCrimes",1
"504","Oct-Dec 2018","CommecialCrimes",1
"505","Jan-Mar 2019","CommecialCrimes",0
"506","Apr-Jun 2019","CommecialCrimes",1
"507","Jul-Sep 2019","CommecialCrimes",2
"508","Oct-Dec 2019","CommecialCrimes",0
"509","Jan-Mar 2020","CommecialCrimes",1
"510","Apr-Jun 2020","CommecialCrimes",0
"511","Jul-Sep 2020","CommecialCrimes",1
"512","Oct-Dec 2020","CommecialCrimes",1
"513","Jan-Mar 2021","CommecialCrimes",2
"514","Apr-Jun 2021","CommecialCrimes",1
"515","Jul-Sep 2021","CommecialCrimes",1
"516","Oct-Dec 2021","CommecialCrimes",1
"517","Jan-Mar 2022","CommecialCrimes",131
"518","Apr-Jun 2022","CommecialCrimes",33
"519","Jul-Sep 2022","CommecialCrimes",2
"520","Oct-Dec 2022","CommecialCrimes",2
"521","Jan-Mar 2018","ShopLifiting",0
"522","Apr-Jun 2018","ShopLifiting",0
"523","Jul-Sep 2018","ShopLifiting",0
"524","Oct-Dec 2018","ShopLifiting",0
"525","Jan-Mar 2019","ShopLifiting",0
"526","Apr-Jun 2019","ShopLifiting",0
"527","Jul-Sep 2019","ShopLifiting",0
"528","Oct-Dec 2019","ShopLifiting",0
"529","Jan-Mar 2020","ShopLifiting",0
"530","Apr-Jun 2020","ShopLifiting",0
"531","Jul-Sep 2020","ShopLifiting",0
"532","Oct-Dec 2020","ShopLifiting",0
"533","Jan-Mar 2021","ShopLifiting",0
"534","Apr-Jun 2021","ShopLifiting",0
"535","Jul-Sep 2021","ShopLifiting",0
"536","Oct-Dec 2021","ShopLifiting",0
"537","Jan-Mar 2022","ShopLifiting",0
"538","Apr-Jun 2022","ShopLifiting",0
"539","Jul-Sep 2022","ShopLifiting",0
"540","Oct-Dec 2022","ShopLifiting",0
"541","Jan-Mar 2018","IllegalPossessionofFirearms",0
"542","Apr-Jun 2018","IllegalPossessionofFirearms",0
"543","Jul-Sep 2018","IllegalPossessionofFirearms",0
"544","Oct-Dec 2018","IllegalPossessionofFirearms",2
"545","Jan-Mar 2019","IllegalPossessionofFirearms",0
"546","Apr-Jun 2019","IllegalPossessionofFirearms",2
"547","Jul-Sep 2019","IllegalPossessionofFirearms",0
"548","Oct-Dec 2019","IllegalPossessionofFirearms",0
"549","Jan-Mar 2020","IllegalPossessionofFirearms",0
"550","Apr-Jun 2020","IllegalPossessionofFirearms",0
"551","Jul-Sep 2020","IllegalPossessionofFirearms",0
"552","Oct-Dec 2020","IllegalPossessionofFirearms",0
"553","Jan-Mar 2021","IllegalPossessionofFirearms",0
"554","Apr-Jun 2021","IllegalPossessionofFirearms",0
"555","Jul-Sep 2021","IllegalPossessionofFirearms",4
"556","Oct-Dec 2021","IllegalPossessionofFirearms",1
"557","Jan-Mar 2022","IllegalPossessionofFirearms",0
"558","Apr-Jun 2022","IllegalPossessionofFirearms",0
"559","Jul-Sep 2022","IllegalPossessionofFirearms",0
"560","Oct-Dec 2022","IllegalPossessionofFirearms",0
"561","Jan-Mar 2018","DrugCrimes",18
"562","Apr-Jun 2018","DrugCrimes",30
"563","Jul-Sep 2018","DrugCrimes",25
"564","Oct-Dec 2018","DrugCrimes",1
"565","Jan-Mar 2019","DrugCrimes",0
"566","Apr-Jun 2019","DrugCrimes",0
"567","Jul-Sep 2019","DrugCrimes",1
"568","Oct-Dec 2019","DrugCrimes",3
"569","Jan-Mar 2020","DrugCrimes",8
"570","Apr-Jun 2020","DrugCrimes",2
"571","Jul-Sep 2020","DrugCrimes",6
"572","Oct-Dec 2020","DrugCrimes",0
"573","Jan-Mar 2021","DrugCrimes",10
"574","Apr-Jun 2021","DrugCrimes",3
"575","Jul-Sep 2021","DrugCrimes",4
"576","Oct-Dec 2021","DrugCrimes",8
"577","Jan-Mar 2022","DrugCrimes",7
"578","Apr-Jun 2022","DrugCrimes",2
"579","Jul-Sep 2022","DrugCrimes",3
"580","Oct-Dec 2022","DrugCrimes",0
"581","Jan-Mar 2018","DrunkenDriving",0
"582","Apr-Jun 2018","DrunkenDriving",0
"583","Jul-Sep 2018","DrunkenDriving",0
"584","Oct-Dec 2018","DrunkenDriving",1
"585","Jan-Mar 2019","DrunkenDriving",1
"586","Apr-Jun 2019","DrunkenDriving",1
"587","Jul-Sep 2019","DrunkenDriving",1
"588","Oct-Dec 2019","DrunkenDriving",1
"589","Jan-Mar 2020","DrunkenDriving",0
"590","Apr-Jun 2020","DrunkenDriving",0
"591","Jul-Sep 2020","DrunkenDriving",0
"592","Oct-Dec 2020","DrunkenDriving",1
"593","Jan-Mar 2021","DrunkenDriving",2
"594","Apr-Jun 2021","DrunkenDriving",4
"595","Jul-Sep 2021","DrunkenDriving",1
"596","Oct-Dec 2021","DrunkenDriving",0
"597","Jan-Mar 2022","DrunkenDriving",1
"598","Apr-Jun 2022","DrunkenDriving",1
"599","Jul-Sep 2022","DrunkenDriving",0
"600","Oct-Dec 2022","DrunkenDriving",1
"601","Jan-Mar 2018","PoliceSexualOffence",0
"602","Apr-Jun 2018","PoliceSexualOffence",0
"603","Jul-Sep 2018","PoliceSexualOffence",0
"604","Oct-Dec 2018","PoliceSexualOffence",0
"605","Jan-Mar 2019","PoliceSexualOffence",0
"606","Apr-Jun 2019","PoliceSexualOffence",0
"607","Jul-Sep 2019","PoliceSexualOffence",0
"608","Oct-Dec 2019","PoliceSexualOffence",0
"609","Jan-Mar 2020","PoliceSexualOffence",0
"610","Apr-Jun 2020","PoliceSexualOffence",1
"611","Jul-Sep 2020","PoliceSexualOffence",0
"612","Oct-Dec 2020","PoliceSexualOffence",0
"613","Jan-Mar 2021","PoliceSexualOffence",0
"614","Apr-Jun 2021","PoliceSexualOffence",0
"615","Jul-Sep 2021","PoliceSexualOffence",0
"616","Oct-Dec 2021","PoliceSexualOffence",0
"617","Jan-Mar 2022","PoliceSexualOffence",0
"618","Apr-Jun 2022","PoliceSexualOffence",0
"619","Jul-Sep 2022","PoliceSexualOffence",0
"620","Oct-Dec 2022","PoliceSexualOffence",0
